IATA_AIRLINE,ID_AIRLINE,IATA_DEP_AIRPORT,ID_DEP_AIRPORT,IATA_ARR_AIRPORT,ID_ARR_AIRPORT,CODESHARE,STOPS,AIRCRAFT_TYPE,dep_geometry,arr_geometry,distance
3M,20710,FLL,3533,MCO,3878,,0,SF3,POINT (-80.152702 26.072599),POINT (-81.30899811 28.42939949),321991.7137536562
3M,20710,FLL,3533,TPA,3646,,0,SF3,POINT (-80.152702 26.072599),POINT (-82.53320313 27.97550011),356056.86803066474
3M,20710,MCO,3878,FLL,3533,,0,SF3,POINT (-81.30899811 28.42939949),POINT (-80.152702 26.072599),321991.7137536562
3M,20710,MCO,3878,RSW,3793,,0,SF3,POINT (-81.30899811 28.42939949),POINT (-81.75520325 26.53619957),242712.35274392646
3M,20710,RSW,3793,MCO,3878,,0,SF3,POINT (-81.75520325 26.53619957),POINT (-81.30899811 28.42939949),242712.35274392646
3M,20710,TPA,3646,FLL,3533,,0,SF3,POINT (-82.53320313 27.97550011),POINT (-80.152702 26.072599),356056.86803066474
4B,20565,LAS,3877,LAX,3484,,0,PL2,POINT (-115.151817 36.083361),POINT (-118.407997 33.942501),464842.0544610031
4B,20565,LAX,3484,LAS,3877,,0,PL2,POINT (-118.407997 33.942501),POINT (-115.151817 36.083361),464842.0544610031
9E,3976,ATL,3682,CVG,3488,,0,CR9 ,POINT (-84.428101 33.6367),POINT (-84.667801 39.048801),749016.3395202017
9E,3976,ATL,3682,MSP,3858,,0,,POINT (-84.428101 33.6367),POINT (-93.221802 44.882),1895224.6934125067
9E,3976,CVG,3488,ATL,3682,,0,CR9 ,POINT (-84.667801 39.048801),POINT (-84.428101 33.6367),749016.3395202017
9E,3976,DTW,3645,MSY,3861,,0,CR9,POINT (-83.35340118 42.21239853),POINT (-90.25800323 29.99340057),1856709.4788416696
9E,3976,JFK,3797,MSY,3861,,0,CR9,POINT (-73.779317 40.639447),POINT (-90.25800323 29.99340057),2342373.236786362
9E,3976,MEM,3473,MSY,3861,,0,CRJ,POINT (-89.97669983 35.04240036),POINT (-90.25800323 29.99340057),667677.8423097248
9E,3976,MSP,3858,ATL,3682,,0,,POINT (-93.221802 44.882),POINT (-84.428101 33.6367),1895224.6934125067
9E,3976,MSP,3858,MSY,3861,,0,CR9,POINT (-93.221802 44.882),POINT (-90.25800323 29.99340057),2126018.497437992
9E,3976,MSY,3861,DTW,3645,,0,CR9,POINT (-90.25800323 29.99340057),POINT (-83.35340118 42.21239853),1856709.4788416696
9E,3976,MSY,3861,JFK,3797,,0,CR9,POINT (-90.25800323 29.99340057),POINT (-73.779317 40.639447),2342373.236786362
9E,3976,MSY,3861,MEM,3473,,0,CRJ,POINT (-90.25800323 29.99340057),POINT (-89.97669983 35.04240036),667677.8423097248
9E,3976,MSY,3861,MSP,3858,,0,CR9,POINT (-90.25800323 29.99340057),POINT (-93.221802 44.882),2126018.497437992
AA,24,ATL,3682,CLT,3876,Y,0,319 320 CR9 321,POINT (-84.428101 33.6367),POINT (-80.94309998 35.2140007),442516.6665160761
AA,24,ATL,3682,DFW,3670,,0,M80 319 M83,POINT (-84.428101 33.6367),POINT (-97.038002 32.896801),1407180.059276798
AA,24,ATL,3682,MIA,3576,,0,738,POINT (-84.428101 33.6367),POINT (-80.29060364 25.79319954),1106999.531285076
AA,24,ATL,3682,ORD,3830,Y,0,CR7 E75,POINT (-84.428101 33.6367),POINT (-87.9048 41.9786),1239616.7286364255
AA,24,ATL,3682,PHL,3752,Y,0,E75 E90 319 CRJ E70,POINT (-84.428101 33.6367),POINT (-75.2410965 39.87189865),1340884.9570231386
AA,24,ATL,3682,PHX,3462,Y,0,320 321,POINT (-84.428101 33.6367),POINT (-112.005905 33.435302),3070064.922174599
AA,24,AUS,3673,CLT,3876,Y,0,CR9,POINT (-97.662015 30.197535),POINT (-80.94309998 35.2140007),1976053.708166101
AA,24,AUS,3673,DFW,3670,,0,M80 738 M83,POINT (-97.662015 30.197535),POINT (-97.038002 32.896801),359424.04849522474
AA,24,AUS,3673,JFK,3797,,0,738,POINT (-97.662015 30.197535),POINT (-73.779317 40.639447),3018952.3941698773
AA,24,AUS,3673,LAX,3484,,0,738 M83,POINT (-97.662015 30.197535),POINT (-118.407997 33.942501),2361282.796665984
AA,24,AUS,3673,MSY,3861,,0,,POINT (-97.662015 30.197535),POINT (-90.25800323 29.99340057),824629.202183219
AA,24,AUS,3673,ORD,3830,,0,M83 M80,POINT (-97.662015 30.197535),POINT (-87.9048 41.9786),1957747.8132450648
