,ATL,ORD,LAX,DFW,SFO,DEN,MSP,DTW,MIA,LAS,EWR,PHX,IAH,JFK,STL,MCO,BOS,PHL,CVG,HNL,CLT,SLC,IAD,PIT,BWI,TPA,SAN,CLE,PDX,FLL,MCI,MEM,MSY,RDU,BNA,IND,AUS,SMF,RSW
ATL,0.0,1239616.7286364255,3782846.4858771786,1407180.059276798,4259320.892144342,2414218.981198342,1895224.6934125067,1218612.2887403395,1106999.531285076,3436222.083251533,1509447.3798667116,3070064.922174599,1305729.4582931872,1537533.7673605252,967164.7890230841,760761.437095263,1938914.7982913926,1340884.9570231386,749016.3395202017,8327076.3253186,442516.6665160761,3226149.348462969,1067981.2452126755,1065319.3004641905,1154995.8810210929,763937.7869652105,3649016.0095003634,1130186.6918374812,4589460.524938982,1082308.4779614708,1387847.8861510612,646089.062362635,805672.9580695201,697484.609887482,420407.7211017597,869992.6530482855,1540726.749310107,4195428.2418070715,961667.8045053267
ORD,1239616.7286364255,0.0,3580805.348910568,1631646.722324806,3888908.302573175,1892507.386217569,740623.1812772183,507872.0083253105,2342976.1114417207,3148810.9545693127,1540939.122203012,2940919.882522041,1851597.4792135633,1584917.2504003549,546010.3193477881,1994613.3851678208,1882146.3295604843,1443491.9040730312,560340.1959097404,8258001.251286865,1237485.4998942122,2685848.22157911,1245054.5449132188,881950.0619993543,1316617.8790619927,2003217.4616102006,3508834.002959178,679317.4441714289,3901975.865180742,2316442.2775787315,853986.3941350379,1014690.2973082236,1675675.2705733648,1339378.1759934751,851033.7916246657,378037.2002225359,1957747.8132450648,3780481.1505102105,2201282.17133586
LAX,3782846.4858771786,3580805.348910568,0.0,2382981.8733873065,670592.7870016799,1737245.7951804085,3219186.0267559374,4074391.317409883,4370614.776233523,464842.0544610031,5014734.182094696,715900.8382472782,2619794.210780374,5055857.887289621,3191159.6751962686,4191768.2350316243,5410390.171388201,4875836.488465762,3822010.738503546,4677779.99232403,4174115.096496295,1197124.02511841,4611095.595668505,4347346.360259616,4702778.771134452,4068105.784756188,210553.29649248984,4203455.707451424,1756652.423951845,4377387.252351624,2740349.8795232167,3168442.270714851,3176230.2400846584,4418350.827719052,3544582.8557015457,3664134.5054766084,2361282.796665984,746501.5977051329,4190543.4447457227
DFW,1407180.059276798,1631646.722324806,2382981.8733873065,0.0,2893117.8650546917,1285359.9219739558,1772996.1189531249,2009968.0072013095,2073727.9045004814,2061860.4611557496,2767553.4837293606,1667757.5512743322,424408.5176357652,2804476.602198709,1094345.812980041,1844003.0123609225,3190292.1839163997,2611541.9122651066,1616708.2865029415,6931496.256596552,1818533.9967462628,1993685.2888873648,2333299.59141593,2148210.6769355256,2427005.41575469,1735309.7714536139,2243414.573198998,2068484.483383478,3384673.5305507034,2072728.3146996056,919907.0755517017,837169.556791911,844521.2727999282,2071061.5099839445,1232967.6642946391,1523228.0405943429,359424.04849522474,2846924.096316221,1886832.5999620783
SFO,4259320.892144342,3888908.302573175,670592.7870016799,2893117.8650546917,0.0,1996410.8576347353,3419430.229942501,4394791.284684295,4935277.508280272,831979.7207569219,5384419.32374196,1288464.9291595498,3178878.3385919137,5426993.072085411,3566370.6835473864,4732090.766105395,5759933.348745595,5256768.959233274,4202448.266734519,4477934.994722012,4624165.070532112,1243450.1076253452,5003914.36635884,4709283.438629827,5092847.922261992,4616140.55605885,881116.5247911516,4544348.369691867,1189198.185579658,4939115.370397059,3088453.8940789034,3624099.456998549,3718737.4641565457,4858167.129535183,3979188.381159497,4027602.716886263,2926049.521539713,175613.08781585252,4751666.545702638
DEN,2414218.981198342,1892507.386217569,1737245.7951804085,1285359.9219739558,1996410.8576347353,0.0,1482620.5855766714,2398517.610814137,3297402.236150847,1282818.1996112913,3397885.8122108374,1209603.981973952,1698905.0745151208,3440939.1036376194,1600233.6145064945,3023949.4302371456,3766085.4806735795,3276344.455094712,2230050.0544625786,6401224.473308785,2721080.9753079168,824498.6005503773,3032684.2948261555,2722205.77924749,3119041.6336413906,2938390.955217739,1706886.6541433232,2550822.336842027,2176343.6603602627,3290609.9501840207,1111631.54727593,1770231.1559797723,2092618.6216275643,2935867.2062314902,2071614.1091393852,2046002.6162136288,1530796.4028311279,1890758.4175006326,3110914.8364871526
MSP,1895224.6934125067,740623.1812772183,3219186.0267559374,1772996.1189531249,3419430.229942501,1482620.5855766714,0.0,1172602.2836814185,2997711.731900047,2761517.476240019,2214248.6321958234,2663469.1632234263,2114624.332711948,2258010.348364249,970610.2577075869,2654700.7228625314,2503276.208756045,2139480.161058273,1292724.2881866654,7870500.89768421,1963745.9286774765,2178844.72681231,1967483.7347721008,1591651.2595720002,2031899.4383697382,2640371.4142134152,3186979.7148040645,1372280.9842489592,3272051.0912050325,2974898.613402315,854865.2781609017,1478140.9136687424,2126018.497437992,2078961.5876110669,1477276.0911848505,1095441.2677218511,2132083.5354238455,3290677.6534889583,2840304.412659366
DTW,1218612.2887403395,507872.0083253105,4074391.317409883,2009968.0072013095,4394791.284684295,2398517.610814137,1172602.2836814185,0.0,2245395.153081785,3647710.1897667055,1047063.7048533361,3422002.03509374,2154389.6736944485,1091070.373484535,931264.9429466928,1903284.4414890965,1374785.1719529438,966895.3056219219,486699.5798535744,8748839.939624399,1035223.5857803491,3193718.077990303,812757.9021116026,431053.1403394704,867607.4862276096,1949103.442032997,3995537.6934831818,205713.38054341346,4399744.301633808,2213636.2480220725,1335253.9533636773,1261174.7211410792,1856709.4788416696,1041501.7765925141,950134.3851974771,492481.0386942905,2303389.8563300157,4287597.664603828,2134631.3350360496
MIA,1106999.531285076,2342976.1114417207,4370614.776233523,2073727.9045004814,4935277.508280272,3297402.236150847,2997711.731900047,2245395.153081785,0.0,4105113.267515852,2106862.125417111,3663950.5683308784,1756691.2566515368,2113963.6179361506,2047132.7397873746,348674.2511534497,2468999.7921396215,1956347.401190266,1821555.753234915,8659198.852542397,1221672.0799347353,4058737.832809166,1768615.178910221,1964145.2421679592,1818604.2644198944,369488.3874270462,4202196.455210257,2106929.6690463796,5449294.970656216,37838.99211729976,2405255.561637862,1610407.1504362896,1229309.1396858303,1320942.8087038416,1520752.7915748188,1968391.5933805113,2011975.6466687212,4903384.383422337,187280.4230987634
LAS,3436222.083251533,3148810.9545693127,464842.0544610031,2061860.4611557496,831979.7207569219,1282818.1996112913,2761517.476240019,3647710.1897667055,4105113.267515852,0.0,4608998.120912313,501427.4651598298,2349527.707813168,4650818.386470079,2783887.010888891,3900112.355571246,4996761.604237029,4474966.568498117,3418937.4538097777,5119832.473349605,3809958.8530129637,756200.6736868821,4215477.082208928,3937164.5080350004,4305967.161896325,3784389.7100635823,505839.93486148573,3784498.2848491576,1629209.6808482236,4108520.684545471,2319660.491780409,2806099.410152487,2886951.152212981,4048156.4316652687,3169673.6391611947,3253072.3065724196,2098554.678091675,804856.8225492326,3921083.34639604
EWR,1509447.3798667116,1540939.122203012,5014734.182094696,2767553.4837293606,5384419.32374196,3397885.8122108374,2214248.6321958234,1047063.7048533361,2106862.125417111,4608998.120912313,0.0,4332322.567192493,2775421.3743468896,44039.77720917656,1825334.5420973534,1843979.3693715995,431075.30628396984,169087.14052846478,1192826.1543575956,9662608.636097575,1080701.573118741,4209128.57134603,445073.86361325183,675706.5982302441,354881.92061985494,1956925.0924425877,4915406.92868546,861621.9533139034,5442712.425313512,2069173.4317153401,2296045.8228774373,1931993.6918688072,2313505.275319836,855136.9436451147,1536496.4146314405,1357290.7210450785,2984594.8303646734,5286928.940406011,2080557.9984744098
PHX,3070064.922174599,2940919.882522041,715900.8382472782,1667757.5512743322,1288464.9291595498,1209603.981973952,2663469.1632234263,3422002.03509374,3663950.5683308784,501427.4651598298,4332322.567192493,0.0,1909280.9798914501,4372678.664701627,2517426.0600912455,3478436.2572211614,4735564.476534443,4189170.181788903,3140502.876110526,5333691.020305871,3466198.793772026,1027568.4050786768,3920566.3986839796,3671387.6258476167,4013017.011237039,3356269.621713413,584573.2329414081,3538879.3289114526,2119673.2549007447,3669685.583858943,2088868.266762108,2461811.0217989953,2462528.3790188334,3712602.0572876986,2842935.8992512547,2991994.8782045795,1652156.6728852196,1289960.0747740527,3482500.4020758998
IAH,1305729.4582931872,1851597.4792135633,2619794.210780374,424408.5176357652,3178878.3385919137,1698905.0745151208,2114624.332711948,2154389.6736944485,1756691.2566515368,2349527.707813168,2775421.3743468896,1909280.9798914501,0.0,2808275.078001506,1307126.8574105161,1574619.3819733115,3205859.8714512675,2611097.766042252,1708096.382328807,7048590.983524687,1745599.1763892227,2370382.019653664,2330991.947226581,2211563.7350911987,2423146.8608742985,1448541.6893941779,2458447.60711287,2173918.517706217,3755567.4242713647,1761337.654027135,1264776.0332392054,896102.8060106211,565882.3390978137,2001929.135657836,1263428.5764331582,1663025.830898894,259780.99779672822,3150077.1419786275,1573972.2056398909
JFK,1537533.7673605252,1584917.2504003549,5055857.887289621,2804476.602198709,5426993.072085411,3440939.1036376194,2258010.348364249,1091070.373484535,2113963.6179361506,4650818.386470079,44039.77720917656,4372678.664701627,2808275.078001506,0.0,1867017.7599671592,1856124.118313929,401382.0474806486,197520.65525420077,1233848.7046810081,9702408.118495077,1105973.5588162097,4252506.584795869,477291.3092647626,718736.8995418318,385451.7738302722,1971145.3587877473,4955915.916571084,905600.2033918574,5486717.362730738,2076213.0429260656,2338563.910434054,1968419.780441282,2342373.236786362,875860.7038997881,1572695.9002876563,1399636.8671266285,3018952.3941698773,5329794.281230771,2091474.3457103723
