,Unnamed: 0,id,ident,type,name,latitude_deg,longitude_deg,country_name,iso_country,region_name,iso_region,local_region,scheduled_service,score,iata,geometry
0,1,3384,KATL,large_airport,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,United States,US,Georgia,US-GA,GA,1,2002475,ATL,POINT (-84.428101 33.6367)
1,2,3754,KORD,large_airport,Chicago O'Hare International Airport,41.9786,-87.9048,United States,US,Illinois,US-IL,IL,1,1503175,ORD,POINT (-87.9048 41.9786)
2,3,3632,KLAX,large_airport,Los Angeles / Tom Bradley International Airport,33.942501,-118.407997,United States,US,California,US-CA,CA,1,1335475,LAX,POINT (-118.407997 33.942501)
3,4,3488,KDFW,large_airport,Dallas Fort Worth International Airport,32.896801,-97.038002,United States,US,Texas,US-TX,TX,1,1203175,DFW,POINT (-97.038002 32.896801)
4,5,3878,KSFO,large_airport,San Francisco International Airport,37.61899948,-122.375,United States,US,California,US-CA,CA,1,1112475,SFO,POINT (-122.375 37.61899948)
5,6,3486,KDEN,large_airport,Denver International Airport,39.86169815,-104.6729965,United States,US,Colorado,US-CO,CO,1,1103275,DEN,POINT (-104.6729965 39.86169815)
6,7,3709,KMSP,large_airport,MinneapolisÃ¢ÂÂSaint Paul International Airport / WoldÃ¢ÂÂChamberlain Field,44.882,-93.221802,United States,US,Minnesota,US-MN,MN,1,1085275,MSP,POINT (-93.221802 44.882)
7,8,3497,KDTW,large_airport,Detroit Metropolitan Wayne County Airport,42.21239853,-83.35340118,United States,US,Michigan,US-MI,MI,1,1079375,DTW,POINT (-83.35340118 42.21239853)
8,9,3685,KMIA,large_airport,Miami International Airport,25.79319954,-80.29060364,United States,US,Florida,US-FL,FL,1,1073075,MIA,POINT (-80.29060364 25.79319954)
9,10,3631,KLAS,large_airport,Harry Reid International Airport,36.083361,-115.151817,United States,US,Nevada,US-NV,NV,1,1068475,LAS,POINT (-115.151817 36.083361)
10,11,3521,KEWR,large_airport,Newark Liberty International Airport,40.692501,-74.168701,United States,US,New Jersey,US-NJ,NJ,1,1064475,EWR,POINT (-74.168701 40.692501)
11,12,3772,KPHX,large_airport,Phoenix Sky Harbor International Airport,33.435302,-112.005905,United States,US,Arizona,US-AZ,AZ,1,1060875,PHX,POINT (-112.005905 33.435302)
12,13,3604,KIAH,large_airport,George Bush Intercontinental Houston Airport,29.9843998,-95.34140015,United States,US,Texas,US-TX,TX,1,1055675,IAH,POINT (-95.34140015 29.9843998)
13,14,3622,KJFK,large_airport,John F Kennedy International Airport,40.639447,-73.779317,United States,US,New York,US-NY,NY,1,1052075,JFK,POINT (-73.779317 40.639447)
14,15,3905,KSTL,large_airport,St Louis Lambert International Airport,38.748697,-90.370003,United States,US,Missouri,US-MO,MO,1,1047075,STL,POINT (-90.370003 38.748697)
15,16,3670,KMCO,large_airport,Orlando International Airport,28.42939949,-81.30899811,United States,US,Florida,US-FL,FL,1,1044075,MCO,POINT (-81.30899811 28.42939949)
16,17,3422,KBOS,large_airport,Logan International Airport,42.3643,-71.005203,United States,US,Massachusetts,US-MA,MA,1,1035875,BOS,POINT (-71.005203 42.3643)
17,18,3771,KPHL,large_airport,Philadelphia International Airport,39.87189865,-75.2410965,United States,US,Pennsylvania,US-PA,PA,1,1031075,PHL,POINT (-75.2410965 39.87189865)
18,19,3471,KCVG,large_airport,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801,United States,US,Kentucky,US-KY,KY,1,1029475,CVG,POINT (-84.667801 39.048801)
19,20,5453,PHNL,large_airport,Daniel K Inouye International Airport,21.32062,-157.924228,United States,US,Hawaii,US-HI,HI,1,1029375,HNL,POINT (-157.924228 21.32062)
20,21,3457,KCLT,large_airport,Charlotte Douglas International Airport,35.2140007,-80.94309998,United States,US,North Carolina,US-NC,NC,1,1028075,CLT,POINT (-80.94309998 35.2140007)
21,22,3887,KSLC,large_airport,Salt Lake City International Airport,40.785749,-111.979746,United States,US,Utah,US-UT,UT,1,1025075,SLC,POINT (-111.979746 40.785749)
22,23,3602,KIAD,large_airport,Washington Dulles International Airport,38.9445,-77.455803,United States,US,Virginia,US-VA,VA,1,1023875,IAD,POINT (-77.455803 38.9445)
23,24,3778,KPIT,large_airport,Pittsburgh International Airport,40.49150085,-80.23290253,United States,US,Pennsylvania,US-PA,PA,1,1021875,PIT,POINT (-80.23290253 40.49150085)
24,25,3435,KBWI,large_airport,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,United States,US,Maryland,US-MD,MD,1,1021075,BWI,POINT (-76.668297 39.1754)
25,26,3926,KTPA,large_airport,Tampa International Airport,27.97550011,-82.53320313,United States,US,Florida,US-FL,FL,1,1017475,TPA,POINT (-82.53320313 27.97550011)
26,27,3862,KSAN,large_airport,San Diego International Airport,32.73360062,-117.1900024,United States,US,California,US-CA,CA,1,1017175,SAN,POINT (-117.1900024 32.73360062)
27,28,3454,KCLE,large_airport,Cleveland Hopkins International Airport,41.4117012,-81.84980011,United States,US,Ohio,US-OH,OH,1,1015875,CLE,POINT (-81.84980011 41.4117012)
28,29,3768,KPDX,large_airport,Portland International Airport,45.58869934,-122.5979996,United States,US,Oregon,US-OR,OR,1,1015775,PDX,POINT (-122.5979996 45.58869934)
29,30,3531,KFLL,large_airport,Fort Lauderdale Hollywood International Airport,26.072599,-80.152702,United States,US,Florida,US-FL,FL,1,1015275,FLL,POINT (-80.152702 26.072599)
30,31,3668,KMCI,large_airport,Kansas City International Airport,39.2976,-94.713898,United States,US,Missouri,US-MO,MO,1,1015075,MCI,POINT (-94.713898 39.2976)
31,32,3675,KMEM,large_airport,Memphis International Airport,35.04240036,-89.97669983,United States,US,Tennessee,US-TN,TN,1,1014475,MEM,POINT (-89.97669983 35.04240036)
32,33,3711,KMSY,large_airport,Louis Armstrong New Orleans International Airport,29.99340057,-90.25800323,United States,US,Louisiana,US-LA,LA,1,1012575,MSY,POINT (-90.25800323 29.99340057)
33,34,3844,KRDU,large_airport,Raleigh Durham International Airport,35.877602,-78.787498,United States,US,North Carolina,US-NC,NC,1,1011675,RDU,POINT (-78.787498 35.877602)
34,35,3420,KBNA,large_airport,Nashville International Airport,36.12450027,-86.67819977,United States,US,Tennessee,US-TN,TN,1,52075,BNA,POINT (-86.67819977 36.12450027)
35,36,3610,KIND,large_airport,Indianapolis International Airport,39.7173,-86.294403,United States,US,Indiana,US-IN,IN,1,52075,IND,POINT (-86.294403 39.7173)
36,37,3386,KAUS,large_airport,Austin Bergstrom International Airport,30.197535,-97.662015,United States,US,Texas,US-TX,TX,1,51675,AUS,POINT (-97.662015 30.197535)
37,38,3892,KSMF,large_airport,Sacramento International Airport,38.69540024,-121.5910034,United States,US,California,US-CA,CA,1,51475,SMF,POINT (-121.5910034 38.69540024)
38,39,3858,KRSW,large_airport,Southwest Florida International Airport,26.53619957,-81.75520325,United States,US,Florida,US-FL,FL,1,51150,RSW,POINT (-81.75520325 26.53619957)
