STATE,STATEA,PLACE,PLACEA,NAME_E,Total population,Median income,Population 15-24,Population 25-44,Population 45-64,Population 65+,Latitude,Longitude
Arizona,4,Mesa city,46000,"Mesa city, Arizona",508918,61640.0,66151,140044,115982,84706,33.4151557,-111.8233774
Arizona,4,Phoenix city,55000,"Phoenix city, Arizona",1658422,60914.0,233503,498478,389603,182002,33.447743200000005,-112.08047693729459
Arizona,4,Tucson city,77000,"Tucson city, Arizona",545340,45227.0,101959,149708,119207,80828,32.2260322,-110.9789957090482
California,6,Los Angeles city,44000,"Los Angeles city, California",3973278,65290.0,530014,1294890,961901,510787,33.73647445,-118.28074984636581
California,6,Sacramento city,64000,"Sacramento city, California",503482,65847.0,62599,163306,114264,67129,38.5405798,-121.4885331
California,6,San Diego city,66000,"San Diego city, California",1414545,83454.0,197629,470348,324685,187912,34.03415085,-118.43584785298557
California,6,San Francisco city,67000,"San Francisco city, California",874784,119136.0,77792,343208,215210,138157,37.7819468,-122.4180883
California,6,San Jose city,68000,"San Jose city, California",1029409,117324.0,127788,315612,264650,133412,37.3315739,-121.857464
Colorado,8,Denver city,20000,"Denver city, Colorado",715878,72661.0,77663,282072,153298,84203,39.679397699999996,-104.94345066693596
District of Columbia,11,Washington city,50000,"Washington city, District of Columbia",701974,90842.0,89563,269895,146179,85912,38.9232216,-77.0176122
Florida,12,Jacksonville city,35000,"Jacksonville city, Florida",902488,55531.0,112389,265268,225135,124601,30.330064450000002,-81.65905544651602
Illinois,17,Chicago city,14000,"Chicago city, Illinois",2699347,62097.0,350941,921397,619446,342174,41.81988845,-87.64544578987876
Michigan,26,Detroit city,22000,"Detroit city, Michigan",672351,32498.0,94592,183233,160623,93716,42.33035305,-83.04961831071137
Nevada,32,Las Vegas city,40000,"Las Vegas city, Nevada",644594,58377.0,79073,180635,162598,95764,36.167282,-115.14851894692055
New York,36,New York city,51000,"New York city, New York",8379552,67046.0,976721,2635329,2045584,1252513,40.7127281,-74.0060152
North Carolina,37,Charlotte city,12000,"Charlotte city, North Carolina",873570,65359.0,114864,288916,207208,90759,35.05392785,-80.77019831392357
Ohio,39,Columbus city,18000,"Columbus city, Ohio",889079,54902.0,128547,303496,193957,92310,40.06300185,-82.89372605336199
Oklahoma,40,Oklahoma City city,55000,"Oklahoma City city, Oklahoma",649821,56456.0,85613,193722,149339,81639,35.4948736,-97.5119278
Oregon,41,Portland city,59000,"Portland city, Oregon",650380,73159.0,68095,241970,159040,85802,45.5448282,-122.598222
Pennsylvania,42,Philadelphia city,60000,"Philadelphia city, Pennsylvania",1581531,49127.0,207459,500842,364038,217403,39.948572049999996,-75.14841004533797
Tennessee,47,Memphis city,48000,"Memphis city, Tennessee",650910,41864.0,90698,183115,152596,86987,35.1311628,-89.97495962064995
Texas,48,El Paso city,24000,"El Paso city, Texas",679879,48866.0,105846,185644,149612,87804,31.783450000000002,-106.45934497994122
Texas,48,Houston city,35000,"Houston city, Texas",2313238,53600.0,311545,751070,512361,254128,31.8631107,-101.4796126
Washington,53,Seattle city,63000,"Seattle city, Washington",741251,97185.0,91221,297477,166592,92796,47.6177084,-122.3444624
Wisconsin,55,Milwaukee city,53000,"Milwaukee city, Wisconsin",592649,43125.0,93449,177571,127599,62495,43.123917899999995,-87.9777162859653
