,Location,Departure_airport,Destination,Arrival_airport,Age,Income,Car travel time,Car travel cost,Air travel time,Air travel cost,Mode,Aircraft
0,Charlotte city,CLT,Seattle city,PDX,25-44,65359.0,50.21494444444444,502.1494444444444,11.824959354288383,305.47209437185234,Air,Narrowbody
1,New York city,EWR,New York city,EWR,25-44,67046.0,0.0,0.0,2.6993333333333336,1000.0,Car,Narrowbody
2,New York city,EWR,Los Angeles city,LAX,25-44,67046.0,50.18533333333334,501.8533333333334,8.897570634384506,313.61143633924394,Air,Narrowbody
3,New York city,EWR,Chicago city,ORD,65+,67046.0,14.73025,147.3025,4.827858714836292,91.81193240438456,Air,Widebody
4,Seattle city,PDX,Los Angeles city,LAX,15-24,97185.0,21.883166666666664,218.83166666666665,8.097643148000884,116.35454367434758,Air,Narrowbody
5,New York city,EWR,New York city,EWR,45-64,67046.0,0.0,0.0,2.6993333333333336,1000.0,Car,Narrowbody
6,Phoenix city,PHX,Charlotte city,CLT,45-64,60914.0,37.06836111111112,370.68361111111125,6.8425875694709815,219.85710432509757,Air,Narrowbody
7,Phoenix city,PHX,Denver city,DEN,25-44,60914.0,15.413472222222222,154.13472222222222,4.28010419514934,74.22060273727661,Air,Widebody
8,New York city,EWR,Jacksonville city,MCO,25-44,67046.0,17.704694444444446,177.04694444444445,7.631578557475822,121.64165528729764,Air,Narrowbody
9,Houston city,AUS,Los Angeles city,LAX,25-44,53600.0,20.13047222222222,201.3047222222222,11.070224587683246,135.36582773775723,Air,Widebody
10,Los Angeles city,LAX,San Diego city,LAX,45-64,65290.0,0.6194999999999999,6.194999999999999,2.7838333333333334,1000.0,Car,Narrowbody
11,Los Angeles city,LAX,New York city,EWR,45-64,65290.0,50.18533333333334,501.8533333333334,8.897570634384506,313.61143633924394,Air,Narrowbody
12,New York city,EWR,New York city,EWR,45-64,67046.0,0.0,0.0,2.6993333333333336,1000.0,Car,Narrowbody
13,Los Angeles city,LAX,Los Angeles city,LAX,25-44,65290.0,0.0,0.0,3.0121111111111114,1000.0,Car,Narrowbody
14,Los Angeles city,LAX,Chicago city,ORD,25-44,65290.0,35.83991666666667,358.3991666666667,7.441917756384887,226.79582920183086,Air,Narrowbody
15,Memphis city,MEM,El Paso city,PHX,25-44,41864.0,18.69863888888889,186.9863888888889,12.721315153439217,159.04757723608103,Air,Narrowbody
16,New York city,EWR,Chicago city,ORD,25-44,67046.0,14.73025,147.3025,4.827858714836292,91.81193240438456,Air,Widebody
17,Jacksonville city,MCO,Los Angeles city,LAX,25-44,55531.0,42.61497222222222,426.1497222222222,10.616628730292451,263.7858894262596,Air,Narrowbody
18,Philadelphia city,PHL,New York city,EWR,65+,49127.0,1.982361111111111,19.82361111111111,3.0529714233965883,45.87566570739386,Car,Battery-electric commuter
19,New York city,EWR,Chicago city,ORD,45-64,67046.0,14.73025,147.3025,4.827858714836292,91.81193240438456,Air,Widebody
20,New York city,EWR,Houston city,AUS,25-44,67046.0,34.07541666666667,340.7541666666667,11.6648140526482,190.69893446659043,Air,Narrowbody
21,Washington city,BWI,Los Angeles city,LAX,15-24,90842.0,47.40863888888889,474.0863888888889,8.966859630550209,259.68112847104294,Air,Widebody
22,Chicago city,ORD,Phoenix city,PHX,15-24,62097.0,31.39355555555556,313.9355555555556,6.361415855782914,166.14006755284746,Air,Widebody
23,Phoenix city,PHX,Seattle city,PDX,15-24,60914.0,26.482972222222223,264.82972222222224,8.225462087564486,122.53823240038093,Air,Widebody
24,New York city,EWR,New York city,EWR,45-64,67046.0,0.0,0.0,2.6993333333333336,1000.0,Car,Narrowbody
25,New York city,EWR,Tucson city,PHX,15-24,67046.0,44.15102777777778,441.5102777777778,9.621749076938746,240.01277332385538,Air,Widebody
26,Chicago city,ORD,New York city,EWR,15-24,62097.0,14.73025,147.3025,4.827858714836293,103.29442463248704,Air,Narrowbody
27,New York city,EWR,San Diego city,LAX,65+,67046.0,50.06330555555555,500.63305555555553,8.669292856606729,313.61143633924394,Air,Narrowbody
28,Los Angeles city,LAX,San Francisco city,SFO,25-44,65290.0,7.545638888888889,75.4563888888889,3.696193116869494,50.60028545227325,Air,Narrowbody
29,New York city,EWR,Chicago city,ORD,65+,67046.0,14.73025,147.3025,4.827858714836292,91.81193240438456,Air,Widebody
30,Houston city,AUS,Los Angeles city,LAX,45-64,53600.0,20.13047222222222,201.3047222222222,11.070224587683246,135.36582773775723,Air,Widebody
31,Denver city,DEN,New York city,EWR,45-64,72661.0,32.29175,322.9175,7.069754994631531,215.72117175135045,Air,Narrowbody
32,Columbus city,CLE,Phoenix city,PHX,15-24,54902.0,33.899277777777776,338.99277777777775,8.935765590388632,197.88708280068852,Air,Widebody
33,Houston city,AUS,New York city,EWR,45-64,53600.0,34.07541666666667,340.7541666666667,11.664814052648198,168.45886900916858,Air,Widebody
34,San Diego city,LAX,Los Angeles city,LAX,65+,83454.0,0.6194999999999999,6.194999999999999,2.7838333333333334,1000.0,Car,Narrowbody
35,Tucson city,PHX,New York city,EWR,15-24,45227.0,44.15102777777778,441.5102777777778,9.621749076938746,240.01277332385538,Air,Widebody
36,Chicago city,ORD,San Francisco city,SFO,45-64,62097.0,36.95066666666666,369.50666666666666,7.689265023180532,245.44957572260736,Air,Narrowbody
37,El Paso city,PHX,San Diego city,LAX,45-64,48866.0,14.436083333333334,144.36083333333335,10.701670019307297,48.008789667949216,Air,Widebody
38,Los Angeles city,LAX,Houston city,AUS,45-64,65290.0,20.13047222222222,201.3047222222222,11.070224587683246,135.36582773775723,Air,Widebody
39,Las Vegas city,LAS,El Paso city,PHX,65+,58377.0,13.428194444444443,134.28194444444443,10.406046142762847,40.3583614582599,Air,Narrowbody
40,Oklahoma City city,DFW,Detroit city,DTW,15-24,56456.0,18.745527777777777,187.45527777777778,8.446203757002918,131.6912505235544,Air,Narrowbody
41,New York city,EWR,Philadelphia city,PHL,65+,67046.0,1.982361111111111,19.82361111111111,2.8809416686420595,20.23719059439736,Car,Narrowbody
42,New York city,EWR,Milwaukee city,ORD,45-64,67046.0,16.824749999999998,168.24749999999997,6.116219825947404,91.81193240438456,Air,Widebody
43,New York city,EWR,New York city,EWR,25-44,67046.0,0.0,0.0,2.6993333333333336,1000.0,Car,Narrowbody
44,San Francisco city,SFO,Sacramento city,SMF,25-44,119136.0,1.8516666666666663,18.516666666666662,2.9841653668464088,20.63229672713566,Car,Narrowbody
